Security Code,Company_Name,Security Id,Security Name,Status,,,
500458,Kore Foods Limited,KORE,Kore Foods Ltd,Active,,,
500459,Procter & Gamble Hygiene & Health Care Ltd.,PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,Active,,,
500460,Mukand Ltd.,MUKANDLTD,MUKAND LTD.,Active,,,
500463,BLACK BOX LIMITED,BBOX,Black Box Ltd,Active,,,
500464,UCAL LIMITED,UCAL,Ucal  Ltd,Active,,,
500467,Harrisons Malayalam Ltd.,HARRMALAYA,HARRISONS MALAYALAM LTD.,Active,,,
500469,Federal Bank Ltd.,FEDERALBNK,FEDERAL BANK LTD.,Active,,,
500470,TATA STEEL LIMITED,TATASTEEL,TATA STEEL LTD.,Active,,,
500472,SKF India Ltd.,SKFINDIA,SKF India Ltd,Active,,,
500477,Ashok Leyland Ltd.,ASHOKLEY,ASHOK LEYLAND LTD.,Active,,,
500480,Cummins India Ltd.,CUMMINSIND,CUMMINS INDIA LTD.,Active,,,
500483,Tata Communications Limited,TATACOMM,TATA COMMUNICATIONS LTD.,Active,,,
500488,Abbott India Ltd.,ABBOTINDIA,ABBOTT INDIA LTD.,Active,,,
500490,Bajaj Holdings & Investment Limited,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.,Active,,,
500493,Bharat Forge Ltd,BHARATFORG,BHARAT FORGE LTD.,Active,,,
500495,Escorts Kubota Limited,ESCORTS,Escorts Kubota Ltd,Active,,,
500500,Hindustan Motors Ltd.,HINDMOTORS,HINDUSTAN MOTORS LTD.,Active,,,
500510,Larsen & Toubro Limited,LT,LARSEN & TOUBRO LTD.,Active,,,
500520,Mahindra & Mahindra Ltd.,M&M,MAHINDRA & MAHINDRA LTD.,Active,,,
500530,Bosch Ltd,BOSCHLTD,BOSCH LTD.,Active,,,
500547,Bharat Petroleum Corpn. Ltd.,BPCL,BHARAT PETROLEUM CORPORATION LTD.,Active,,,
500550,Siemens Ltd.,SIEMENS,SIEMENS LTD.,Active,,,
500570,Tata Motors Ltd.,TATAMOTORS,TATA MOTORS LTD.,Active,,,
500575,Voltas Ltd.,VOLTAS,VOLTAS LTD.,Active,,,
500620,Great Eastern Shipping Co. Ltd.,GESHIP,GREAT EASTERN SHIPPING CO.LTD.,Active,,,
500645,Deepak Fertilizers &Petrochemicals,DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,Active,,,
500650,Excell Industries Ltd.,EXCELINDUS,EXCEL INDUSTRIES LTD.,Active,,,
500655,GARWARE HI-TECH FILMS LIMITED,GRWRHITECH,Garware Hi-Tech Films Ltd,Active,,,
500660,GlaxoSmithkline Pharmaceuticals Ltd.,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,Active,,,
500670,Gujarat Narmada Valley Fert.Co.Ltd,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,Active,,,
500672,Novartis India Limited.,NOVARTIND,NOVARTIS INDIA LTD.,Active,,,
500674,Sanofi India Ltd,SANOFI,Sanofi India Ltd,Active,,,
500680,Pfizer Ltd.,PFIZER,PFIZER LTD.,Active,,,
500690,Gujarat State Fertilizers & Chem.Ltd,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,Active,,,
500696,Hindustan Unilever Ltd.,HINDUNILVR,HINDUSTAN UNILEVER LTD.,Active,,,
500710,Akzo Nobel India Limited,AKZOINDIA,Akzo Nobel India Limited,Active,,,
500730,NOCIL Ltd,NOCIL,NOCIL LTD.,Active,,,
500770,Tata Chemicals Ltd,TATACHEM,TATA CHEMICALS LTD.,Active,,,
500777,Tamilnadu Petroproducts Ltd,TNPETRO,TAMILNADU PETROPRODUCTS LTD.,Active,,,
